id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns,received
234,2135316581307,1773051311070075591,1773049175753494284,10594,-82039,1
235,2135317571024,1773051311071147160,1773049175753576136,-10283,81852,1
236,2135318580680,1773051311072073308,1773049175753492628,9656,-83508,1
237,2135319568838,1773051311073160883,1773049175753592045,-11842,99417,1
238,2135320579104,1773051311074081354,1773049175753502250,10266,-89795,1
239,2135321569406,1773051311075101665,1773049175753532259,-9698,30009,1
240,2135322578024,1773051311076074248,1773049175753496224,8618,-36035,1
241,2135323569053,1773051311077172817,1773049175753603764,-8971,107540,1
242,2135324576605,1773051311078067807,1773049175753491202,7552,-112562,1
243,2135325568326,1773051311079163299,1773049175753594973,-8279,103771,1
244,2135326577216,1773051311080074529,1773049175753497313,8890,-97660,1
245,2135327568733,1773051311081219832,1773049175753651099,-8483,153786,1
246,2135328576546,1773051311082200811,1773049175753624265,7813,-26834,1
247,2135329568922,1773051311083210978,1773049175753642056,-7624,17791,1
248,2135330576672,1773051311084094617,1773049175753517945,7750,-124111,1
249,2135331568509,1773051311085159941,1773049175753591432,-8163,73487,1
250,2135332578398,1773051311086068550,1773049175753490152,9889,-101280,1
251,2135333569541,1773051311087135435,1773049175753565894,-8857,75742,1
252,2135334578825,1773051311088080186,1773049175753501361,9284,-64533,1
253,2135335569274,1773051311089123626,1773049175753554352,-9551,52991,1
254,2135336578944,1773051311090077922,1773049175753498978,9670,-55374,1
255,2135337569472,1773051311091172098,1773049175753602626,-9472,103648,1
256,2135338578708,1773051311092120422,1773049175753541714,9236,-60912,1
257,2135339575309,1773051311093144133,1773049175753568824,-3399,27110,1
258,2135340578903,1773051311094117381,1773049175753538478,3594,-30346,1
259,2135341577134,1773051311095221239,1773049175753644105,-1769,105627,1
260,2135342577636,1773051311096185642,1773049175753608006,502,-36099,1
261,2135343569956,1773051311097211464,1773049175753641508,-7680,33502,1
262,2135344576676,1773051311098155299,1773049175753578623,6720,-62885,1
263,2135345568750,1773051311099220801,1773049175753652051,-7926,73428,1
264,2135346576856,1773051311100080914,1773049175753504058,8106,-147993,1
265,2135347568775,1773051311101139018,1773049175753570243,-8081,66185,1
266,2135348577961,1773051311102098613,1773049175753520652,9186,-49591,1
267,2135349568835,1773051311103123287,1773049175753554452,-9126,33800,1
268,2135350577669,1773051311104069528,1773049175753491859,8834,-62593,1
269,2135351568889,1773051311105121608,1773049175753552719,-8780,60860,1
270,2135352577449,1773051311106080573,1773049175753503124,8560,-49595,1
271,2135353569766,1773051311107109100,1773049175753539334,-7683,36210,1
272,2135354588062,1773051311108097407,1773049175753509345,18296,-29989,1
273,2135355569541,1773051311109116430,1773049175753546889,-18521,37544,1
274,2135356579189,1773051311110089915,1773049175753510726,9648,-36163,1
275,2135357569450,1773051311111122920,1773049175753553470,-9739,42744,1
276,2135358578475,1773051311112083965,1773049175753505490,9025,-47980,1
277,2135359569769,1773051311113143272,1773049175753573503,-8706,68013,1
278,2135360578595,1773051311114089630,1773049175753511035,8826,-62468,1
279,2135361568925,1773051311115136012,1773049175753567087,-9670,56052,1
280,2135362578836,1773051311116120092,1773049175753541256,9911,-25831,1
281,2135363574973,1773051311117142544,1773049175753567571,-3863,26315,1
282,2135364578850,1773051311118223134,1773049175753644284,3877,76713,1
283,2135365570082,1773051311119214963,1773049175753644881,-8768,597,1
284,2135366580041,1773051311120151580,1773049175753571539,9959,-73342,1
285,2135367571636,1773051311121229794,1773049175753658158,-8405,86619,1
286,2135368578638,1773051311122192745,1773049175753614107,7002,-44051,1
287,2135369568754,1773051311123231140,1773049175753662386,-9884,48279,1
288,2135370576904,1773051311124183712,1773049175753606808,8150,-55578,1
289,2135371568723,1773051311125221043,1773049175753652320,-8181,45512,1
290,2135372576702,1773051311126196177,1773049175753619475,7979,-32845,1
291,2135373568549,1773051311127216736,1773049175753648187,-8153,28712,1
292,2135374576293,1773051311128191216,1773049175753614923,7744,-33264,1
293,2135375568932,1773051311129213501,1773049175753644569,-7361,29646,1
294,2135376576684,1773051311130148620,1773049175753571936,7752,-72633,1
295,2135377569941,1773051311131198289,1773049175753628348,-6743,56412,1
296,2135378577781,1773051311132198288,1773049175753620507,7840,-7841,1
297,2135379569613,1773051311133208254,1773049175753638641,-8168,18134,1
298,2135380577520,1773051311134182085,1773049175753604565,7907,-34076,1
299,2135381569262,1773051311135220118,1773049175753650856,-8258,46291,1
300,2135382577603,1773051311136151625,1773049175753574022,8341,-76834,1
301,2135383569826,1773051311137224516,1773049175753654690,-7777,80668,1
302,2135384577810,1773051311138231115,1773049175753653305,7984,-1385,1
303,2135385569180,1773051311139223945,1773049175753654765,-8630,1460,1
304,2135386577613,1773051311140202971,1773049175753625358,8433,-29407,1
305,2135387568936,1773051311141221855,1773049175753652919,-8677,27561,1
306,2135388576330,1773051311142154273,1773049175753577943,7394,-74976,1
307,2135389569058,1773051311143221898,1773049175753652840,-7272,74897,1
308,2135390576422,1773051311144175499,1773049175753599077,7364,-53763,1
309,2135391568744,1773051311145207140,1773049175753638396,-7678,39319,1
310,2135392576549,1773051311146184940,1773049175753608391,7805,-30005,1
311,2135393569020,1773051311147222078,1773049175753653058,-7529,44667,1
312,2135394576790,1773051311148194976,1773049175753618186,7770,-34872,1
313,2135395568088,1773051311149219972,1773049175753651884,-8702,33698,1
314,2135396576553,1773051311150184166,1773049175753607613,8465,-44271,1
315,2135397568765,1773051311151219025,1773049175753650260,-7788,42647,1
316,2135398576578,1773051311152193977,1773049175753617399,7813,-32861,1
317,2135399569769,1773051311153221823,1773049175753652054,-6809,34655,1
318,2135400578010,1773051311154158920,1773049175753580910,8241,-71144,1
319,2135401569932,1773051311155222837,1773049175753652905,-8078,71995,1
320,2135402577685,1773051311156215138,1773049175753637453,7753,-15452,1
321,2135403569323,1773051311157235195,1773049175753665872,-8362,28419,1
322,2135404577935,1773051311158160963,1773049175753583028,8612,-82844,1
323,2135405569448,1773051311159222108,1773049175753652660,-8487,69632,1
324,2135406577298,1773051311160191447,1773049175753614149,7850,-38511,1
325,2135407569917,1773051311161193602,1773049175753623685,-7381,9536,1
326,2135408578249,1773051311162170891,1773049175753592642,8332,-31043,1
327,2135409568569,1773051311163207800,1773049175753639231,-9680,46589,1
328,2135410576591,1773051311164143185,1773049175753566594,8022,-72637,1
329,2135411568947,1773051311165203064,1773049175753634117,-7644,67523,1
330,2135412585439,1773051311166274545,1773049175753689106,16492,54989,1
331,2135413570488,1773051311167238962,1773049175753668474,-14951,-20632,1
332,2135414543411,1773051311168426871,1773049175753883460,-27077,214986,1
333,2135415581008,1773051311169387948,1773049175753806940,37597,-76520,1
334,2135416573024,1773051311170448358,1773049175753875334,-7984,68394,1
335,2135417571697,1773051311171335498,1773049175753763801,-1327,-111533,1
336,2135418570944,1773051311172398065,1773049175753827121,-753,63320,1
337,2135419574276,1773051311173531774,1773049175753957498,3332,130377,1
338,2135420571172,1773051311174352652,1773049175753781480,-3104,-176018,1
339,2135421570938,1773051311175520927,1773049175753949989,-234,168509,1
340,2135422568879,1773051311175977509,1773049175753408630,-2059,-541359,1
341,2135423569837,1773051311177482170,1773049175753912333,958,503703,1
342,2135424584177,1773051311178121905,1773049175753537728,14340,-374605,1
343,2135425570866,1773051311179525729,1773049175753954863,-13311,417135,1
344,2135426582075,1773051311180358984,1773049175753776909,11209,-177954,1
345,2135427572976,1773051311181465056,1773049175753892080,-9099,115171,1
346,2135428571149,1773051311182296398,1773049175753725249,-1827,-166831,1
347,2135429571930,1773051311183490919,1773049175753918989,781,193740,1
348,2135430570688,1773051311184341869,1773049175753771181,-1242,-147808,1
349,2135431570647,1773051311185495054,1773049175753924407,-41,153226,1
350,2135432570564,1773051311186324300,1773049175753753736,-83,-170671,1
351,2135433570637,1773051311187439457,1773049175753868820,73,115084,1
352,2135434569769,1773051311188306289,1773049175753736520,-868,-132300,1
353,2135435569950,1773051311189476096,1773049175753906146,181,169626,1
354,2135436570696,1773051311190333277,1773049175753762581,746,-143565,1
355,2135437571003,1773051311191467706,1773049175753896703,307,134122,1
356,2135438570460,1773051311192398611,1773049175753828151,-543,-68552,1
357,2135439620773,1773051311193429477,1773049175753808704,50313,-19447,1
358,2135440570231,1773051311194442056,1773049175753871825,-50542,63121,1
359,2135441571045,1773051311195467745,1773049175753896700,814,24875,1
360,2135442568994,1773051311196333089,1773049175753764095,-2051,-132605,1
361,2135443568888,1773051311197440644,1773049175753871756,-106,107661,1
362,2135444569412,1773051311198328378,1773049175753758966,524,-112790,1
363,2135445570360,1773051311199474337,1773049175753903977,948,145011,1
364,2135446568856,1773051311200425601,1773049175753856745,-1504,-47232,1
365,2135447571284,1773051311201523341,1773049175753952057,2428,95312,1
366,2135448570735,1773051311202334802,1773049175753764067,-549,-187990,1
367,2135449570008,1773051311203354535,1773049175753784527,-727,20460,1
368,2135450570299,1773051311204447635,1773049175753877336,291,92809,1
369,2135451570673,1773051311205493474,1773049175753922801,374,45465,1
370,2135452571118,1773051311206456815,1773049175753885697,445,-37104,1
371,2135453572244,1773051311207317724,1773049175753745480,1126,-140217,1
372,2135454590555,1773051311208140995,1773049175753550440,18311,-195040,1
373,2135455570850,1773051311209497233,1773049175753926383,-19705,375943,1
374,2135456581365,1773051311210351800,1773049175753770435,10515,-155948,1
375,2135457573171,1773051311211513829,1773049175753940658,-8194,170223,1
376,2135458571353,1773051311212332979,1773049175753761626,-1818,-179032,1
377,2135459570932,1773051311213434533,1773049175753863601,-421,101975,1
378,2135460569045,1773051311214422248,1773049175753853203,-1887,-10398,1
379,2135461570783,1773051311215485488,1773049175753914705,1738,61502,1
380,2135462569312,1773051311216351337,1773049175753782025,-1471,-132680,1
381,2135463570020,1773051311217354223,1773049175753784203,708,2178,1
382,2135464569814,1773051311218350062,1773049175753780248,-206,-3955,1
383,2135465569535,1773051311219246611,1773049175753677076,-279,-103172,1
384,2135466570226,1773051311220491711,1773049175753921485,691,244409,1
385,2135467571347,1773051311221418774,1773049175753847427,1121,-74058,1
386,2135468585006,1773051311222553380,1773049175753968374,13659,120947,1
387,2135469574950,1773051311223348521,1773049175753773571,-10056,-194803,1
388,2135470570956,1773051311224473914,1773049175753902958,-3994,129387,1
389,2135471570433,1773051311225322891,1773049175753752458,-523,-150500,1
390,2135472570070,1773051311226529624,1773049175753959554,-363,207096,1
391,2135473569985,1773051311227280582,1773049175753710597,-85,-248957,1
392,2135474569154,1773051311228408659,1773049175753839505,-831,128908,1
393,2135475580671,1773051311229304845,1773049175753724174,11517,-115331,1
394,2135476571691,1773051311230352520,1773049175753780829,-8980,56655,1
